date,metric_id,value
2026-08-14,ASIA_HY_OVER_CORE,2.19
2026-08-18,ASIA_HY_OVER_CORE,1.83
2026-08-19,ASIA_HY_OVER_CORE,1.86
2026-08-20,ASIA_HY_OVER_CORE,1.83
2026-08-21,ASIA_HY_OVER_CORE,1.87
2026-08-14,ASIA_US_HY_YIELD_GAP,0.33
2026-08-17,ASIA_US_HY_YIELD_GAP,0.28
2026-08-18,ASIA_US_HY_YIELD_GAP,0.22
2026-08-19,ASIA_US_HY_YIELD_GAP,0.28
2026-08-20,ASIA_US_HY_YIELD_GAP,0.21
2026-08-21,ASIA_US_HY_YIELD_GAP,0.26
2023-08-21,ASIA_US_IG_OAS_GAP,0.85
2023-08-22,ASIA_US_IG_OAS_GAP,0.86
2023-08-23,ASIA_US_IG_OAS_GAP,0.9
2023-08-24,ASIA_US_IG_OAS_GAP,0.85
2023-08-25,ASIA_US_IG_OAS_GAP,0.87
2023-08-28,ASIA_US_IG_OAS_GAP,0.91
2023-08-29,ASIA_US_IG_OAS_GAP,0.97
2023-08-30,ASIA_US_IG_OAS_GAP,0.91
2023-08-31,ASIA_US_IG_OAS_GAP,0.82
2023-09-01,ASIA_US_IG_OAS_GAP,0.77
2023-09-04,ASIA_US_IG_OAS_GAP,0.78
2023-09-05,ASIA_US_IG_OAS_GAP,0.76
2023-09-06,ASIA_US_IG_OAS_GAP,0.72
2023-09-07,ASIA_US_IG_OAS_GAP,0.78
2023-09-08,ASIA_US_IG_OAS_GAP,0.75
2023-09-11,ASIA_US_IG_OAS_GAP,0.77
2023-09-12,ASIA_US_IG_OAS_GAP,0.77
2023-09-13,ASIA_US_IG_OAS_GAP,0.79
2023-09-14,ASIA_US_IG_OAS_GAP,0.75
2023-09-15,ASIA_US_IG_OAS_GAP,0.76
2023-09-18,ASIA_US_IG_OAS_GAP,0.75
2023-09-19,ASIA_US_IG_OAS_GAP,0.73
2023-09-20,ASIA_US_IG_OAS_GAP,0.73
2023-09-21,ASIA_US_IG_OAS_GAP,0.74
2023-09-22,ASIA_US_IG_OAS_GAP,0.78
2023-09-25,ASIA_US_IG_OAS_GAP,0.76
2023-09-26,ASIA_US_IG_OAS_GAP,0.75
2023-09-27,ASIA_US_IG_OAS_GAP,0.69
2023-09-28,ASIA_US_IG_OAS_GAP,0.75
2023-09-29,ASIA_US_IG_OAS_GAP,0.69
2023-09-30,ASIA_US_IG_OAS_GAP,0.66
2023-10-02,ASIA_US_IG_OAS_GAP,0.64
2023-10-03,ASIA_US_IG_OAS_GAP,0.6
2023-10-04,ASIA_US_IG_OAS_GAP,0.73
2023-10-05,ASIA_US_IG_OAS_GAP,0.7
2023-10-06,ASIA_US_IG_OAS_GAP,0.65
2023-10-09,ASIA_US_IG_OAS_GAP,0.66
2023-10-10,ASIA_US_IG_OAS_GAP,0.72
2023-10-11,ASIA_US_IG_OAS_GAP,0.67
2023-10-12,ASIA_US_IG_OAS_GAP,0.63
2023-10-13,ASIA_US_IG_OAS_GAP,0.67
2023-10-16,ASIA_US_IG_OAS_GAP,0.66
2023-10-17,ASIA_US_IG_OAS_GAP,0.61
2023-10-18,ASIA_US_IG_OAS_GAP,0.62
2023-10-19,ASIA_US_IG_OAS_GAP,0.66
2023-10-20,ASIA_US_IG_OAS_GAP,0.68
2023-10-23,ASIA_US_IG_OAS_GAP,0.72
2023-10-24,ASIA_US_IG_OAS_GAP,0.67
2023-10-25,ASIA_US_IG_OAS_GAP,0.63
2023-10-26,ASIA_US_IG_OAS_GAP,0.73
2023-10-27,ASIA_US_IG_OAS_GAP,0.71
2023-10-30,ASIA_US_IG_OAS_GAP,0.65
2023-10-31,ASIA_US_IG_OAS_GAP,0.58
2023-11-01,ASIA_US_IG_OAS_GAP,0.69
2023-11-02,ASIA_US_IG_OAS_GAP,0.64
2023-11-03,ASIA_US_IG_OAS_GAP,0.71
2023-11-06,ASIA_US_IG_OAS_GAP,0.59
2023-11-07,ASIA_US_IG_OAS_GAP,0.62
2023-11-08,ASIA_US_IG_OAS_GAP,0.62
2023-11-09,ASIA_US_IG_OAS_GAP,0.55
2023-11-10,ASIA_US_IG_OAS_GAP,0.6
2023-11-13,ASIA_US_IG_OAS_GAP,0.65
2023-11-14,ASIA_US_IG_OAS_GAP,0.77
2023-11-15,ASIA_US_IG_OAS_GAP,0.6
2023-11-16,ASIA_US_IG_OAS_GAP,0.66
2023-11-17,ASIA_US_IG_OAS_GAP,0.61
2023-11-20,ASIA_US_IG_OAS_GAP,0.65
2023-11-21,ASIA_US_IG_OAS_GAP,0.63
2023-11-22,ASIA_US_IG_OAS_GAP,0.62
2023-11-23,ASIA_US_IG_OAS_GAP,0.62
2023-11-24,ASIA_US_IG_OAS_GAP,0.62
2023-11-27,ASIA_US_IG_OAS_GAP,0.68
2023-11-28,ASIA_US_IG_OAS_GAP,0.71
2023-11-29,ASIA_US_IG_OAS_GAP,0.69
2023-11-30,ASIA_US_IG_OAS_GAP,0.62
2023-12-01,ASIA_US_IG_OAS_GAP,0.73
2023-12-04,ASIA_US_IG_OAS_GAP,0.65
2023-12-05,ASIA_US_IG_OAS_GAP,0.67
2023-12-06,ASIA_US_IG_OAS_GAP,0.64
2023-12-07,ASIA_US_IG_OAS_GAP,0.63
2023-12-08,ASIA_US_IG_OAS_GAP,0.58
2023-12-11,ASIA_US_IG_OAS_GAP,0.64
2023-12-12,ASIA_US_IG_OAS_GAP,0.62
2023-12-13,ASIA_US_IG_OAS_GAP,0.79
2023-12-14,ASIA_US_IG_OAS_GAP,0.67
2023-12-15,ASIA_US_IG_OAS_GAP,0.66
2023-12-18,ASIA_US_IG_OAS_GAP,0.65
2023-12-19,ASIA_US_IG_OAS_GAP,0.67
2023-12-20,ASIA_US_IG_OAS_GAP,0.68
2023-12-21,ASIA_US_IG_OAS_GAP,0.66
2023-12-22,ASIA_US_IG_OAS_GAP,0.67
2023-12-26,ASIA_US_IG_OAS_GAP,0.67
2023-12-27,ASIA_US_IG_OAS_GAP,0.73
2023-12-28,ASIA_US_IG_OAS_GAP,0.69
2023-12-29,ASIA_US_IG_OAS_GAP,0.69
2023-12-31,ASIA_US_IG_OAS_GAP,0.67
2024-01-02,ASIA_US_IG_OAS_GAP,0.62
2024-01-03,ASIA_US_IG_OAS_GAP,0.62
2024-01-04,ASIA_US_IG_OAS_GAP,0.55
2024-01-05,ASIA_US_IG_OAS_GAP,0.59
2024-01-08,ASIA_US_IG_OAS_GAP,0.64
2024-01-09,ASIA_US_IG_OAS_GAP,0.65
2024-01-10,ASIA_US_IG_OAS_GAP,0.63
2024-01-11,ASIA_US_IG_OAS_GAP,0.67
2024-01-12,ASIA_US_IG_OAS_GAP,0.69
2024-01-15,ASIA_US_IG_OAS_GAP,0.69
2024-01-16,ASIA_US_IG_OAS_GAP,0.61
2024-01-17,ASIA_US_IG_OAS_GAP,0.6
2024-01-18,ASIA_US_IG_OAS_GAP,0.61
2024-01-19,ASIA_US_IG_OAS_GAP,0.61
2024-01-22,ASIA_US_IG_OAS_GAP,0.65
2024-01-23,ASIA_US_IG_OAS_GAP,0.63
2024-01-24,ASIA_US_IG_OAS_GAP,0.6
2024-01-25,ASIA_US_IG_OAS_GAP,0.66
2024-01-26,ASIA_US_IG_OAS_GAP,0.6
2024-01-29,ASIA_US_IG_OAS_GAP,0.64
2024-01-30,ASIA_US_IG_OAS_GAP,0.56
2024-01-31,ASIA_US_IG_OAS_GAP,0.67
2024-02-01,ASIA_US_IG_OAS_GAP,0.64
2024-02-02,ASIA_US_IG_OAS_GAP,0.53
2024-02-05,ASIA_US_IG_OAS_GAP,0.58
2024-02-06,ASIA_US_IG_OAS_GAP,0.63
2024-02-07,ASIA_US_IG_OAS_GAP,0.58
2024-02-08,ASIA_US_IG_OAS_GAP,0.55
2024-02-09,ASIA_US_IG_OAS_GAP,0.55
2024-02-12,ASIA_US_IG_OAS_GAP,0.55
2024-02-13,ASIA_US_IG_OAS_GAP,0.45
2024-02-14,ASIA_US_IG_OAS_GAP,0.56
2024-02-15,ASIA_US_IG_OAS_GAP,0.53
2024-02-16,ASIA_US_IG_OAS_GAP,0.51
2024-02-19,ASIA_US_IG_OAS_GAP,0.52
2024-02-20,ASIA_US_IG_OAS_GAP,0.52
2024-02-21,ASIA_US_IG_OAS_GAP,0.47
2024-02-22,ASIA_US_IG_OAS_GAP,0.48
2024-02-23,ASIA_US_IG_OAS_GAP,0.51
2024-02-26,ASIA_US_IG_OAS_GAP,0.46
2024-02-27,ASIA_US_IG_OAS_GAP,0.48
2024-02-28,ASIA_US_IG_OAS_GAP,0.48
2024-02-29,ASIA_US_IG_OAS_GAP,0.42
2024-03-01,ASIA_US_IG_OAS_GAP,0.45
2024-03-04,ASIA_US_IG_OAS_GAP,0.39
2024-03-05,ASIA_US_IG_OAS_GAP,0.42
2024-03-06,ASIA_US_IG_OAS_GAP,0.43
2024-03-07,ASIA_US_IG_OAS_GAP,0.45
2024-03-08,ASIA_US_IG_OAS_GAP,0.45
2024-03-11,ASIA_US_IG_OAS_GAP,0.43
2024-03-12,ASIA_US_IG_OAS_GAP,0.41
2024-03-13,ASIA_US_IG_OAS_GAP,0.42
2024-03-14,ASIA_US_IG_OAS_GAP,0.4
2024-03-15,ASIA_US_IG_OAS_GAP,0.42
2024-03-18,ASIA_US_IG_OAS_GAP,0.44
2024-03-19,ASIA_US_IG_OAS_GAP,0.45
2024-03-20,ASIA_US_IG_OAS_GAP,0.45
2024-03-21,ASIA_US_IG_OAS_GAP,0.45
2024-03-22,ASIA_US_IG_OAS_GAP,0.45
2024-03-25,ASIA_US_IG_OAS_GAP,0.44
2024-03-26,ASIA_US_IG_OAS_GAP,0.43
2024-03-27,ASIA_US_IG_OAS_GAP,0.43
2024-03-28,ASIA_US_IG_OAS_GAP,0.43
2024-03-31,ASIA_US_IG_OAS_GAP,0.42
2024-04-01,ASIA_US_IG_OAS_GAP,0.4
2024-04-02,ASIA_US_IG_OAS_GAP,0.42
2024-04-03,ASIA_US_IG_OAS_GAP,0.43
2024-04-04,ASIA_US_IG_OAS_GAP,0.44
2024-04-05,ASIA_US_IG_OAS_GAP,0.42
2024-04-08,ASIA_US_IG_OAS_GAP,0.43
2024-04-09,ASIA_US_IG_OAS_GAP,0.43
2024-04-10,ASIA_US_IG_OAS_GAP,0.4
2024-04-11,ASIA_US_IG_OAS_GAP,0.41
2024-04-12,ASIA_US_IG_OAS_GAP,0.39
2024-04-15,ASIA_US_IG_OAS_GAP,0.38
2024-04-16,ASIA_US_IG_OAS_GAP,0.36
2024-04-17,ASIA_US_IG_OAS_GAP,0.37
2024-04-18,ASIA_US_IG_OAS_GAP,0.36
2024-04-19,ASIA_US_IG_OAS_GAP,0.37
2024-04-22,ASIA_US_IG_OAS_GAP,0.39
2024-04-23,ASIA_US_IG_OAS_GAP,0.4
2024-04-24,ASIA_US_IG_OAS_GAP,0.39
2024-04-25,ASIA_US_IG_OAS_GAP,0.38
2024-04-26,ASIA_US_IG_OAS_GAP,0.42
2024-04-29,ASIA_US_IG_OAS_GAP,0.41
2024-04-30,ASIA_US_IG_OAS_GAP,0.38
2024-05-01,ASIA_US_IG_OAS_GAP,0.39
2024-05-02,ASIA_US_IG_OAS_GAP,0.4
2024-05-03,ASIA_US_IG_OAS_GAP,0.41
2024-05-06,ASIA_US_IG_OAS_GAP,0.4
2024-05-07,ASIA_US_IG_OAS_GAP,0.39
2024-05-08,ASIA_US_IG_OAS_GAP,0.38
2024-05-09,ASIA_US_IG_OAS_GAP,0.39
2024-05-10,ASIA_US_IG_OAS_GAP,0.36
2024-05-13,ASIA_US_IG_OAS_GAP,0.35
2024-05-14,ASIA_US_IG_OAS_GAP,0.36
2024-05-15,ASIA_US_IG_OAS_GAP,0.37
2024-05-16,ASIA_US_IG_OAS_GAP,0.33
2024-05-17,ASIA_US_IG_OAS_GAP,0.32
2024-05-20,ASIA_US_IG_OAS_GAP,0.31
2024-05-21,ASIA_US_IG_OAS_GAP,0.32
2024-05-22,ASIA_US_IG_OAS_GAP,0.31
2024-05-23,ASIA_US_IG_OAS_GAP,0.28
2024-05-24,ASIA_US_IG_OAS_GAP,0.29
2024-05-27,ASIA_US_IG_OAS_GAP,0.3
2024-05-28,ASIA_US_IG_OAS_GAP,0.28
2024-05-29,ASIA_US_IG_OAS_GAP,0.28
2024-05-30,ASIA_US_IG_OAS_GAP,0.29
2024-05-31,ASIA_US_IG_OAS_GAP,0.31
2024-06-03,ASIA_US_IG_OAS_GAP,0.28
2024-06-04,ASIA_US_IG_OAS_GAP,0.27
2024-06-05,ASIA_US_IG_OAS_GAP,0.27
2024-06-06,ASIA_US_IG_OAS_GAP,0.26
2024-06-07,ASIA_US_IG_OAS_GAP,0.21
2024-06-10,ASIA_US_IG_OAS_GAP,0.26
2024-06-11,ASIA_US_IG_OAS_GAP,0.26
2024-06-12,ASIA_US_IG_OAS_GAP,0.26
2024-06-13,ASIA_US_IG_OAS_GAP,0.27
2024-06-14,ASIA_US_IG_OAS_GAP,0.24
2024-06-17,ASIA_US_IG_OAS_GAP,0.23
2024-06-18,ASIA_US_IG_OAS_GAP,0.25
2024-06-19,ASIA_US_IG_OAS_GAP,0.25
2024-06-20,ASIA_US_IG_OAS_GAP,0.23
2024-06-21,ASIA_US_IG_OAS_GAP,0.23
2024-06-24,ASIA_US_IG_OAS_GAP,0.25
2024-06-25,ASIA_US_IG_OAS_GAP,0.26
2024-06-26,ASIA_US_IG_OAS_GAP,0.23
2024-06-27,ASIA_US_IG_OAS_GAP,0.26
2024-06-28,ASIA_US_IG_OAS_GAP,0.23
2024-06-30,ASIA_US_IG_OAS_GAP,0.22
2024-07-01,ASIA_US_IG_OAS_GAP,0.22
2024-07-02,ASIA_US_IG_OAS_GAP,0.25
2024-07-03,ASIA_US_IG_OAS_GAP,0.26
2024-07-04,ASIA_US_IG_OAS_GAP,0.26
2024-07-05,ASIA_US_IG_OAS_GAP,0.28
2024-07-08,ASIA_US_IG_OAS_GAP,0.25
2024-07-09,ASIA_US_IG_OAS_GAP,0.25
2024-07-10,ASIA_US_IG_OAS_GAP,0.25
2024-07-11,ASIA_US_IG_OAS_GAP,0.26
2024-07-12,ASIA_US_IG_OAS_GAP,0.27
2024-07-15,ASIA_US_IG_OAS_GAP,0.26
2024-07-16,ASIA_US_IG_OAS_GAP,0.26
2024-07-17,ASIA_US_IG_OAS_GAP,0.26
2024-07-18,ASIA_US_IG_OAS_GAP,0.24
2024-07-19,ASIA_US_IG_OAS_GAP,0.23
2024-07-22,ASIA_US_IG_OAS_GAP,0.23
2024-07-23,ASIA_US_IG_OAS_GAP,0.23
2024-07-24,ASIA_US_IG_OAS_GAP,0.21
2024-07-25,ASIA_US_IG_OAS_GAP,0.2
2024-07-26,ASIA_US_IG_OAS_GAP,0.24
2024-07-29,ASIA_US_IG_OAS_GAP,0.22
2024-07-30,ASIA_US_IG_OAS_GAP,0.22
2024-07-31,ASIA_US_IG_OAS_GAP,0.22
2024-08-01,ASIA_US_IG_OAS_GAP,0.19
2024-08-02,ASIA_US_IG_OAS_GAP,0.23
2024-08-05,ASIA_US_IG_OAS_GAP,0.2
2024-08-06,ASIA_US_IG_OAS_GAP,0.22
2024-08-07,ASIA_US_IG_OAS_GAP,0.22
2024-08-08,ASIA_US_IG_OAS_GAP,0.21
2024-08-09,ASIA_US_IG_OAS_GAP,0.22
2024-08-12,ASIA_US_IG_OAS_GAP,0.24
2024-08-13,ASIA_US_IG_OAS_GAP,0.25
2024-08-14,ASIA_US_IG_OAS_GAP,0.24
2024-08-15,ASIA_US_IG_OAS_GAP,0.22
2024-08-16,ASIA_US_IG_OAS_GAP,0.23
2024-08-19,ASIA_US_IG_OAS_GAP,0.23
2024-08-20,ASIA_US_IG_OAS_GAP,0.25
2024-08-21,ASIA_US_IG_OAS_GAP,0.26
2024-08-22,ASIA_US_IG_OAS_GAP,0.25
2024-08-23,ASIA_US_IG_OAS_GAP,0.29
2024-08-26,ASIA_US_IG_OAS_GAP,0.24
2024-08-27,ASIA_US_IG_OAS_GAP,0.26
2024-08-28,ASIA_US_IG_OAS_GAP,0.24
2024-08-29,ASIA_US_IG_OAS_GAP,0.23
2024-08-30,ASIA_US_IG_OAS_GAP,0.23
2024-08-31,ASIA_US_IG_OAS_GAP,0.23
2024-09-02,ASIA_US_IG_OAS_GAP,0.23
2024-09-03,ASIA_US_IG_OAS_GAP,0.24
2024-09-04,ASIA_US_IG_OAS_GAP,0.27
2024-09-05,ASIA_US_IG_OAS_GAP,0.26
2024-09-06,ASIA_US_IG_OAS_GAP,0.28
2024-09-09,ASIA_US_IG_OAS_GAP,0.29
2024-09-10,ASIA_US_IG_OAS_GAP,0.29
2024-09-11,ASIA_US_IG_OAS_GAP,0.28
2024-09-12,ASIA_US_IG_OAS_GAP,0.31
2024-09-13,ASIA_US_IG_OAS_GAP,0.3
2024-09-16,ASIA_US_IG_OAS_GAP,0.32
2024-09-17,ASIA_US_IG_OAS_GAP,0.3
2024-09-18,ASIA_US_IG_OAS_GAP,0.32
2024-09-19,ASIA_US_IG_OAS_GAP,0.32
2024-09-20,ASIA_US_IG_OAS_GAP,0.3
2024-09-23,ASIA_US_IG_OAS_GAP,0.31
2024-09-24,ASIA_US_IG_OAS_GAP,0.32
2024-09-25,ASIA_US_IG_OAS_GAP,0.29
2024-09-26,ASIA_US_IG_OAS_GAP,0.26
2024-09-27,ASIA_US_IG_OAS_GAP,0.27
2024-09-30,ASIA_US_IG_OAS_GAP,0.24
2024-10-01,ASIA_US_IG_OAS_GAP,0.26
2024-10-02,ASIA_US_IG_OAS_GAP,0.25
2024-10-03,ASIA_US_IG_OAS_GAP,0.23
2024-10-04,ASIA_US_IG_OAS_GAP,0.17
2024-10-07,ASIA_US_IG_OAS_GAP,0.22
2024-10-08,ASIA_US_IG_OAS_GAP,0.23
2024-10-09,ASIA_US_IG_OAS_GAP,0.23
2024-10-10,ASIA_US_IG_OAS_GAP,0.26
2024-10-11,ASIA_US_IG_OAS_GAP,0.26
2024-10-14,ASIA_US_IG_OAS_GAP,0.26
2024-10-15,ASIA_US_IG_OAS_GAP,0.26
2024-10-16,ASIA_US_IG_OAS_GAP,0.25
2024-10-17,ASIA_US_IG_OAS_GAP,0.23
2024-10-18,ASIA_US_IG_OAS_GAP,0.25
2024-10-21,ASIA_US_IG_OAS_GAP,0.19
2024-10-22,ASIA_US_IG_OAS_GAP,0.21
2024-10-23,ASIA_US_IG_OAS_GAP,0.2
2024-10-24,ASIA_US_IG_OAS_GAP,0.2
2024-10-25,ASIA_US_IG_OAS_GAP,0.19
2024-10-28,ASIA_US_IG_OAS_GAP,0.2
2024-10-29,ASIA_US_IG_OAS_GAP,0.2
2024-10-30,ASIA_US_IG_OAS_GAP,0.17
2024-10-31,ASIA_US_IG_OAS_GAP,0.17
2024-11-01,ASIA_US_IG_OAS_GAP,0.15
2024-11-04,ASIA_US_IG_OAS_GAP,0.18
2024-11-05,ASIA_US_IG_OAS_GAP,0.2
2024-11-06,ASIA_US_IG_OAS_GAP,0.21
2024-11-07,ASIA_US_IG_OAS_GAP,0.23
2024-11-08,ASIA_US_IG_OAS_GAP,0.19
2024-11-11,ASIA_US_IG_OAS_GAP,0.19
2024-11-12,ASIA_US_IG_OAS_GAP,0.19
2024-11-13,ASIA_US_IG_OAS_GAP,0.21
